Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
49	-1459.2972	85.36906	-1263.9835	-1636.2896	200.0	-738.9385	3.023654e-05	-738.9381	-738.9385	600000	5.086263e-09	150625.47	-0.0023490149	-230.01562	1.0530798	0.004226426	0.0225	79.0	438.9922568798065
50	-1512.0703	91.3863	-1284.0359	-1747.9227	200.0	-727.4112	0.00012303669	-727.4109	-727.4113	612000	8.265177e-09	160291.88	-0.0029252972	-175.01562	1.038007	0.0043265694	0.027583333	79.0	448.01419734954834
51	-1497.8695	90.398056	-1313.847	-1711.0096	200.0	-737.485	2.5417068e-05	-737.4846	-737.485	624000	-4.45048e-09	158100.36	-0.0046434533	-1.953125	1.0336062	0.0039785383	0.033833332	79.0	456.75535559654236
52	-1500.784	79.47266	-1353.8187	-1641.923	200.0	-738.7616	0.00012556417	-738.7611	-738.7615	636000	1.2715658e-08	158141.7	-0.0024730593	-0.109375	1.05438	0.0043452187	0.021416666	79.0	465.51038670539856
53	-1478.5123	106.41628	-1224.0752	-1690.7167	200.0	-738.5155	0.00013145723	-738.515	-738.5154	648000	5.086263e-09	154906.31	-0.002309598	-36.34375	1.0654097	0.003964002	0.024666667	79.0	474.23744106292725
54	-1485.4164	105.479164	-1194.9819	-1657.7324	200.0	-733.58	0.00012711588	-733.5796	-733.5799	660000	-6.6757204e-09	155841.0	-0.0031006846	-0.875	1.0771884	0.0034964792	0.027083334	79.0	482.94887590408325
55	-1488.7655	103.93244	-1233.7478	-1668.2634	200.0	-734.31085	6.473276e-05	-734.31055	-734.3109	672000	-2.5431315e-09	155336.62	-0.0029668312	-6.640625	1.096938	0.0040638167	0.0295	79.0	491.6506361961365
56	-1488.0826	86.59892	-1285.6904	-1671.8083	200.0	-732.14124	6.32237e-05	-732.141	-732.1412	684000	2.0980835e-08	155098.28	-0.0028027955	-2.875	1.1106607	0.0040168203	0.02725	79.0	500.364520072937
57	-1498.534	91.909035	-1277.2886	-1661.1068	200.0	-733.57916	0.00018190882	-733.57904	-733.57935	696000	-1.2079875e-08	157888.47	-0.0026239008	-42.859375	1.1218315	0.0046412027	0.023083333	79.0	509.1498465538025
58	-1479.1884	120.380455	-1224.0194	-1652.3876	200.0	-739.3082	6.6139415e-05	-739.3079	-739.30817	708000	-9.536743e-09	154284.48	-0.003053433	-190.15625	1.135976	0.0036093623	0.024916667	79.0	517.8355259895325
59	-1455.447	93.073654	-1237.7986	-1634.4525	200.0	-727.1305	6.788818e-05	-727.13007	-727.13043	720000	2.5431315e-09	149349.2	-0.0027796836	-89.046875	1.1223722	0.003936966	0.020916667	79.0	526.6032710075378
60	-1449.3157	120.04189	-1210.2377	-1781.7233	200.0	-718.57135	6.468239e-05	-718.5711	-718.5713	732000	-6.357829e-09	148849.9	-0.0035091226	-7.609375	1.1425277	0.0058666673	0.032916665	79.0	535.6243817806244
61	-1464.8002	110.438965	-1268.8857	-1729.3041	200.0	-716.01434	0.00012813871	-716.014	-716.0142	744000	-2.415975e-08	151077.9	-0.0031366323	-41.125	1.1249287	0.0048096925	0.027333334	79.0	544.2909591197968
62	-1465.3716	91.698425	-1244.7147	-1685.1538	200.0	-721.92615	0.00012105391	-721.9261	-721.9263	756000	1.8437703e-08	150353.9	-0.003574651	-19.40625	1.1173488	0.0049162237	0.027583333	79.0	552.9681947231293
63	-1435.3964	103.600685	-1232.6366	-1760.8392	200.0	-717.82715	1.0364002e-05	-717.827	-717.82715	768000	6.9936115e-09	145797.3	-0.004479375	-138.64062	1.1105437	0.0049398425	0.031833332	79.0	561.6351337432861
64	-1454.0525	107.18658	-1186.6527	-1678.978	200.0	-706.6768	0.000120645476	-706.6767	-706.67694	780000	-7.947286e-09	148232.62	-0.0030017404	-0.65625	1.1076158	0.003159457	0.02625	79.0	570.3183131217957
65	-1417.109	89.33228	-1176.637	-1630.6241	200.0	-707.4281	0.00012095643	-707.42804	-707.4282	792000	-1.2715658e-08	141779.1	-0.0033181543	-40.578125	1.0887386	0.004324171	0.02775	79.0	579.0599601268768
66	-1430.1897	99.05049	-1210.8588	-1618.6632	200.0	-701.2763	0.00018225834	-701.27637	-701.2765	804000	-8.265177e-09	143687.27	-0.0036775183	-8.21875	1.0939947	0.0054433653	0.034083333	79.0	587.8215491771698
67	-1445.798	94.85169	-1232.1606	-1672.8107	200.0	-704.06635	6.430935e-05	-704.0661	-704.0663	816000	6.357829e-09	146783.64	-0.0035260736	-47.765625	1.0643827	0.0057110763	0.03125	79.0	596.4993753433228
68	-1463.1727	86.709076	-1250.0538	-1635.9603	200.0	-710.8695	6.0923157e-05	-710.86945	-710.86957	828000	2.5431315e-09	149711.81	-0.0043994137	-14.3125	1.0738195	0.004294433	0.033666667	79.0	605.2326619625092
69	-1448.9012	88.36546	-1235.4836	-1602.5472	200.0	-714.6247	0.00012306949	-714.62445	-714.6246	840000	2.0980835e-08	146942.8	-0.003151583	-37.296875	1.059435	0.0046295403	0.026083333	79.0	613.9643313884735
70	-1456.8741	82.758224	-1260.2047	-1611.979	200.0	-708.52734	0.00012334161	-708.52704	-708.5272	852000	-1.0172526e-08	148586.31	-0.0030605013	-2.421875	1.0543178	0.0031433403	0.024333334	79.0	622.9722037315369
71	-1447.0072	74.279915	-1256.1345	-1601.0308	200.0	-710.0919	0.00012193163	-710.0918	-710.09204	864000	-1.2397766e-08	146403.81	-0.0025139255	-14.875	1.0573114	0.0032378903	0.018666666	79.0	631.7419476509094
72	-1434.3821	92.53644	-1057.6643	-1578.3359	200.0	-706.19916	1.1988916e-05	-706.19904	-706.19916	876000	3.8146974e-09	144616.08	-0.003967237	-12.0625	1.0359418	0.005134989	0.034	79.0	640.4459915161133
73	-1417.6404	94.53468	-1235.3942	-1609.2609	200.0	-702.6793	0.00012272975	-702.6791	-702.6792	888000	1.0172526e-08	140753.03	-0.0028306416	-83.1875	1.0612645	0.0035274632	0.023583334	79.0	649.0864932537079
74	-1431.5602	99.23177	-1206.2384	-1592.871	200.0	-693.4033	0.000121661455	-693.4032	-693.40344	900000	1.2715657e-09	143631.7	-0.0030883986	-16.9375	1.0801524	0.0044178325	0.0255	79.0	657.8463501930237
75	-1430.0835	98.99664	-1131.1136	-1616.3295	200.0	-697.59827	6.1687795e-05	-697.59814	-697.5982	912000	-4.1325885e-09	143376.23	-0.0043670065	0.0	1.0802399	0.0052146898	0.04075	79.0	666.5225043296814
76	-1415.4172	96.50801	-1179.2299	-1573.7462	200.0	-697.681	9.553513e-06	-697.68085	-697.681	924000	6.6757204e-09	139862.5	-0.002833359	-77.265625	1.0637982	0.00431266	0.024583334	79.0	675.1838047504425
77	-1397.9298	96.98827	-1204.4039	-1558.6987	200.0	-688.7011	6.2258856e-05	-688.701	-688.70105	936000	2.5431315e-09	136349.33	-0.003588359	-63.40625	1.0767953	0.004658229	0.032583334	79.0	683.8295488357544
78	-1394.4225	98.55256	-1043.0526	-1572.5216	200.0	-680.56445	6.074966e-05	-680.5644	-680.5645	948000	8.424123e-09	135789.3	-0.0027720553	-5.640625	1.0661237	0.003650882	0.023666667	79.0	692.5288381576538
79	-1353.8524	117.019356	-1032.2153	-1545.001	200.0	-678.1388	0.00012177495	-678.1388	-678.1389	960000	3.3378602e-09	128974.72	-0.0038726146	-174.96094	1.0890373	0.003073347	0.03375	79.0	701.2515163421631
80	-1374.7157	94.4406	-1197.6227	-1589.2244	200.0	-664.6544	6.0864528e-05	-664.65436	-664.6545	972000	-6.0399374e-09	131181.55	-0.003609667	-26.53125	1.0736852	0.004950731	0.031	79.0	710.3334903717041
81	-1349.7234	122.84984	-1075.2544	-1542.6377	200.0	-669.89026	6.0833918e-05	-669.8901	-669.8903	984000	-2.2888184e-08	127808.16	-0.0037575003	-89.625	1.0764006	0.0048164027	0.030916667	79.0	719.2555887699127
82	-1348.8116	131.0596	-1056.9409	-1576.3258	200.0	-660.2841	1.5600823e-05	-660.28394	-660.2841	996000	-1.0172526e-08	128796.12	-0.0037701142	-0.03125	1.0763878	0.0029653988	0.03025	79.0	728.3866732120514
83	-1369.0482	127.75822	-1085.6133	-1559.4503	200.0	-660.4203	5.401985e-06	-660.4202	-660.4203	1008000	-8.265177e-09	132226.16	-0.003689308	-23.71875	1.0683229	0.0055216476	0.032083333	79.0	737.4475524425507
84	-1363.7383	132.66562	-859.62103	-1570.4375	200.0	-665.33435	6.639473e-06	-665.3342	-665.33435	1020000	7.629395e-09	131326.38	-0.004054326	-36.15625	1.0603559	0.0058341925	0.035916667	79.0	746.1620259284973
85	-1327.6775	138.26524	-1057.7399	-1786.1923	200.0	-659.2913	6.204407e-06	-659.2912	-659.2913	1032000	1.9709269e-08	126246.46	-0.003191309	-181.46094	1.0573015	0.003360742	0.024083333	79.0	754.8111281394958
86	-1324.3468	133.69902	-799.92816	-1587.5309	200.0	-645.79095	6.6628104e-06	-645.7908	-645.79095	1044000	-7.629395e-09	124238.125	-0.003237466	-1.921875	1.0553187	0.0044746636	0.028	79.0	763.5686526298523
87	-1336.7893	123.738396	-1055.637	-1564.7242	200.0	-644.40393	3.5238663e-06	-644.4039	-644.40393	1056000	-2.1616618e-08	125963.35	-0.0039593684	0.0	1.0498818	0.006211893	0.036333334	79.0	772.2948551177979
88	-1271.1128	140.53877	-966.2379	-1505.3837	200.0	-644.38837	1.642477e-05	-644.3882	-644.38837	1068000	6.9936115e-09	116438.25	-0.0041634794	-642.09375	1.0570762	0.0044471812	0.030083334	79.0	780.9965088367462
89	-1270.8375	192.27501	-646.88605	-1641.0911	200.0	-619.22375	0.00012041624	-619.22375	-619.2239	1080000	-7.629395e-09	118546.21	-0.0038511555	-22.59375	1.0463868	0.0039831153	0.029	79.0	789.7399759292603
90	-1291.1273	165.58109	-933.0841	-1519.3319	200.0	-614.5147	6.1024984e-05	-614.5147	-614.5148	1092000	-5.086263e-09	119854.21	-0.0041039595	-79.83594	1.0351746	0.0051042438	0.032083333	79.0	798.8253636360168
91	-1261.5385	145.54749	-841.7726	-1521.659	200.0	-623.3399	1.3031161e-05	-623.33984	-623.3399	1104000	5.086263e-09	113543.85	-0.0037851778	-150.95312	1.0354954	0.0049654823	0.034083333	79.0	807.5638346672058
92	-1225.3165	169.4578	-649.75806	-1509.608	200.0	-611.2266	6.0831364e-05	-611.2266	-611.2267	1116000	7.629395e-09	109375.07	-0.0048070448	-385.46094	1.0323895	0.004602017	0.03725	79.0	816.2366714477539
93	-1279.0413	196.36809	-747.864	-1521.6814	200.0	-591.8939	6.1035156e-05	-591.894	-591.894	1128000	5.086263e-09	120788.88	-0.0049792784	-407.42188	1.0316634	0.004848504	0.037666667	79.0	824.9739737510681
94	-1233.0369	245.81432	-633.637	-1624.0022	200.0	-611.75183	0.00012810115	-611.75165	-611.7517	1140000	-7.629395e-09	119745.96	-0.0036899592	-521.46875	1.008674	0.0035967769	0.037416667	79.0	833.7152526378632
95	-1262.0671	204.83064	-697.19415	-1528.4281	200.0	-589.29626	5.979161e-05	-589.2962	-589.2963	1152000	1.7166137e-08	118800.234	-0.0033525995	-79.6875	0.9974113	0.0027340746	0.023833333	79.0	842.5020439624786
96	-1170.9437	260.6751	-635.6647	-1769.7812	200.0	-598.0709	7.4145784e-05	-598.0708	-598.07086	1164000	-1.3987223e-08	113233.11	-0.003915533	-2008.1562	0.9966437	0.0029842444	0.029833334	79.0	851.24498462677
97	-1168.0065	217.49281	-641.8715	-1534.7612	200.0	-554.49	0.0006209593	-554.48444	-554.49005	1176000	0.0	104713.79	-0.00436381	-0.71875	0.98589396	0.0041468535	0.034083333	79.0	860.0296013355255
98	-1197.5249	231.62102	-643.60376	-1638.3889	200.0	-553.77356	0.0034891278	-553.73456	-553.7741	1188000	-1.0172526e-08	113392.21	-0.0040344163	-7022.4062	0.9639932	0.0037489515	0.033083335	79.0	868.840656042099
99	-1149.2992	219.88837	-632.7807	-1578.998	200.0	-542.9765	79.13764	-278.42047	-606.20605	1200000	-7.947286e-09	97209.93	-0.003190252	-890.03906	0.98062676	0.0035264315	0.0255	79.0	877.6291842460632
100	-1176.5292	226.01938	-645.51996	-1487.9972	200.0	-542.36584	87.13066	-295.88168	-610.49976	1212000	-1.2715658e-08	97133.25	-0.0048307497	-8182.1484	0.97429365	0.0051522003	0.035916667	79.0	886.7185781002045
101	-1111.4653	245.04361	-668.3091	-1498.5419	200.0	-523.9535	102.18575	-343.2922	-675.06616	1224000	3.1789144e-10	83687.414	-0.0045652557	-8564.0625	0.97131395	0.0025317068	0.045	79.0	895.4698963165283
102	-1068.8651	241.46301	-632.5634	-1461.1466	200.0	-494.402	121.74585	-315.77527	-771.67993	1236000	-7.629395e-09	63729.523	-0.0029371711	-5746.324	0.9589637	0.003966347	0.023166666	79.0	904.1744163036346
103	-1084.9673	241.59962	-646.7856	-1458.0121	200.0	-484.42874	154.37529	-254.21281	-859.9229	1248000	-9.536743e-09	61587.895	-0.0041217925	-4709.539	0.9584046	0.0045800405	0.037333332	79.0	912.9594376087189
104	-1067.6016	247.55351	-645.21625	-1478.1113	200.0	-493.36438	194.8165	-154.92328	-918.0068	1260000	0.0	56257.727	-0.004955668	-2405.332	0.9568968	0.002784401	0.046583332	79.0	921.6786570549011
105	-1051.86	230.5567	-734.7432	-1443.586	200.0	-473.04233	177.00137	-192.25377	-953.5874	1272000	-1.525879e-08	52867.707	-0.0032479477	-2948.0977	0.93555915	0.0032435402	0.028416667	79.0	930.4054682254791
106	-1014.8642	242.88037	-757.8558	-1560.5914	200.0	-456.93085	196.00533	-251.99442	-975.09705	1284000	1.1444092e-08	50798.23	-0.0039553796	-2605.8047	0.94272053	0.003685697	0.0345	79.0	939.163369178772
107	-1019.495	222.87346	-751.6495	-1465.3057	200.0	-467.59235	163.78326	-283.98874	-1001.4402	1296000	-1.8437703e-08	45120.01	-0.0036788248	-4983.5312	0.92858493	0.00468786	0.033833332	79.0	947.8872909545898
108	-994.5244	212.29263	-641.46423	-1521.2029	200.0	-434.8947	199.51816	-228.76439	-1007.35187	1308000	-1.2715658e-08	41919.402	-0.005172548	-1667.3633	0.9221575	0.0041327183	0.047666665	79.0	956.6102530956268
109	-1004.8406	220.21318	-756.9653	-1381.5166	200.0	-458.14584	208.20506	-134.07764	-1021.98883	1320000	-2.5431316e-08	40566.1	-0.003999613	-2319.5977	0.9128195	0.004138538	0.03575	79.0	965.3860170841217
110	-1000.44855	215.73451	-685.9098	-1415.2633	200.0	-455.36407	200.04948	-235.31282	-1029.2623	1332000	-1.0490417e-08	38507.33	-0.0042248154	-1165.0898	0.9115117	0.005672183	0.040083334	79.0	974.4532468318939
